Condition,Description,Group,Priority,Ref_Time_Min,Ref_Time,Ref_Time_Max,RequiredLaps,Start_LonLB,Start_LonUB,Start_LatLB,Start_LatUB,End_LonLB,End_LonUB,End_LatLB,End_LatUB,Waypoint01_LonLB,Waypoint01_LonUB,Waypoint01_LatLB,Waypoint01_LatUB,Waypoint01_Required,Waypoint02_LonLB,Waypoint02_LonUB,Waypoint02_LatLB,Waypoint02_LatUB,Waypoint02_Required,Waypoint03_LonLB,Waypoint03_LonUB,Waypoint03_LatLB,Waypoint03_LatUB,Waypoint03_Required,Waypoint04_LonLB,Waypoint04_LonUB,Waypoint04_LatLB,Waypoint04_LatUB,Waypoint04_Required,Waypoint05_LonLB,Waypoint05_LonUB,Waypoint05_LatLB,Waypoint05_LatUB,Waypoint05_Required,Waypoint06_LonLB,Waypoint06_LonUB,Waypoint06_LatLB,Waypoint06_LatUB,Waypoint06_Required,LoopZone01_LonLB,LoopZone01_LonUB,LoopZone01_LatLB,LoopZone01_LatUB,LoopZone01_Count,LoopZone02_LonLB,LoopZone02_LonUB,LoopZone02_LatLB,LoopZone02_LatUB,LoopZone02_Count,LoopZone03_LonLB,LoopZone03_LonUB,LoopZone03_LatLB,LoopZone03_LatUB,LoopZone03_Count,Forbidden01_LonLB,Forbidden01_LonUB,Forbidden01_LatLB,Forbidden01_LatUB,Forbidden02_LonLB,Forbidden02_LonUB,Forbidden02_LatLB,Forbidden02_LatUB,Forbidden03_LonLB,Forbidden03_LonUB,Forbidden03_LatLB,Forbidden03_LatUB,SkipDistanceThresholdM,SkipTimeThresholdS,Feature1_Hint,Feature1_Lap01_Hint,Feature1_Lap02_Hint,Feature1_Lap03_Hint,Feature1_Lap04_Hint,Feature1_Lap05_Hint,Feature2_Hint,Feature2_Lap01_Hint,Feature2_Lap02_Hint,Feature2_Lap03_Hint,Feature2_Lap04_Hint,Feature2_Lap05_Hint,Feature3_Hint,Feature3_Lap01_Hint,Feature3_Lap02_Hint,Feature3_Lap03_Hint,Feature3_Lap04_Hint,Feature3_Lap05_Hint,Waypoint01_Hint,Waypoint01_Lap01_Hint,Waypoint01_Lap02_Hint,Waypoint01_Lap03_Hint,Waypoint01_Lap04_Hint,Waypoint01_Lap05_Hint,Waypoint02_Hint,Waypoint02_Lap01_Hint,Waypoint02_Lap02_Hint,Waypoint02_Lap03_Hint,Waypoint02_Lap04_Hint,Waypoint02_Lap05_Hint,Waypoint03_Hint,Waypoint03_Lap01_Hint,Waypoint03_Lap02_Hint,Waypoint03_Lap03_Hint,Waypoint03_Lap04_Hint,Waypoint03_Lap05_Hint,Waypoint04_Hint,Waypoint04_Lap01_Hint,Waypoint04_Lap02_Hint,Waypoint04_Lap03_Hint,Waypoint04_Lap04_Hint,Waypoint04_Lap05_Hint,Waypoint05_Hint,Waypoint05_Lap01_Hint,Waypoint05_Lap02_Hint,Waypoint05_Lap03_Hint,Waypoint05_Lap04_Hint,Waypoint05_Lap05_Hint,Waypoint06_Hint,Waypoint06_Lap01_Hint,Waypoint06_Lap02_Hint,Waypoint06_Lap03_Hint,Waypoint06_Lap04_Hint,Waypoint06_Lap05_Hint,LoopZone01_Hint,LoopZone01_Lap01_Hint,LoopZone01_Lap02_Hint,LoopZone01_Lap03_Hint,LoopZone01_Lap04_Hint,LoopZone01_Lap05_Hint,LoopZone02_Hint,LoopZone02_Lap01_Hint,LoopZone02_Lap02_Hint,LoopZone02_Lap03_Hint,LoopZone02_Lap04_Hint,LoopZone02_Lap05_Hint,LoopZone03_Hint,LoopZone03_Lap01_Hint,LoopZone03_Lap02_Hint,LoopZone03_Lap03_Hint,LoopZone03_Lap04_Hint,LoopZone03_Lap05_Hint,Feature1_LonLB,Feature1_LonUB,Feature1_LatLB,Feature1_LatUB,Feature1_Required,Feature2_LonLB,Feature2_LonUB,Feature2_LatLB,Feature2_LatUB,Feature2_Required,Feature3_LonLB,Feature3_LonUB,Feature3_LatLB,Feature3_LatUB,Feature3_Required,Prestart_Hint,Prestart_Lap01_Hint,Prestart_Lap02_Hint,Prestart_Lap03_Hint,Prestart_Lap04_Hint,Prestart_Lap05_Hint
CY,城市广场,MainLine,0,1100,1260,1900,1,119.42175,119.42185,31.03598,31.0361,119.4218,119.42188,31.036,31.03608,119.42178,119.4219,31.03585,31.03595,TRUE,,,,,,119.422,119.4221,31.03584,31.03595,TRUE,,,,,,,,,,,,,,,,119.4236,119.4237,31.0341,31.0342,5,,,,,,,,,,,119.42285,119.42305,31.03335,31.0335,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
AA,连接环道A,MainLine,0,350,450,1200,1,119.42215,119.42248,31.0279,31.0282,119.422,119.4224,31.0281,31.0284,119.42186,119.42207,31.028275,31.0288,TRUE,119.421,119.4216,31.0384,31.039,TRUE,119.4225,119.4236,31.0283,31.0298,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42105,119.42115,31.0288,31.0291,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
AB,连接环道B,MainLine,0,480,600,900,1,119.4223,119.4225,31.0282,31.0284,119.4216,119.4218,31.028,31.0282,119.4228,119.4232,31.0286,31.029,TRUE,119.4228,119.4232,31.0382,31.0387,TRUE,119.41995,119.42015,31.0285,31.02865,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42105,119.42115,31.02895,31.02905,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
ST,方向转向,MainLine,0,90,110,165,1,119.42195,119.42215,31.03591,31.03615,119.42185,119.42215,31.03585,31.03629,119.4224,119.4226,31.03575,31.035929,TRUE,119.42255,119.4228,31.0359,31.0361,TRUE,119.42188,119.42261,31.035894,31.036292,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42355,119.42375,31.03405,31.03425,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
PN,新比利时石块路,MainLine,0,200,230,350,1,119.41745,119.41765,31.0369,31.03705,119.4174,119.4177,31.03655,31.03662,119.41755,119.4178,31.0375,31.0378,TRUE,119.42185,119.42198,31.03775,31.03785,TRUE,119.4175,119.418,31.0355,31.0358,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42,119.422,31.032,31.034,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
AS,ABS湿滑路,MainLine,0,260,300,400,3,119.4199,119.42005,31.0309,31.0311,119.41925,119.4194,31.0335,31.03365,119.4198,119.41995,31.0313,31.03145,TRUE,119.419575,119.419725,31.0322,31.03235,TRUE,119.41935,119.4195,31.0331,31.03325,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
TS,TCS湿滑路,MainLine,0,300,450,670,4,119.4199,119.42005,31.0309,31.0311,119.41925,119.4194,31.0335,31.03365,119.4198,119.41995,31.0313,31.03145,TRUE,119.419575,119.419725,31.0322,31.03235,TRUE,119.41935,119.4195,31.0331,31.03325,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.42002,119.42012,31.03202,31.0321,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
HSB,高速制动,MainLine,0,540,600,900,1,119.4302,119.4304,31.0342,31.0344,119.4298,119.4302,31.0336,31.034,119.43,119.4304,31.033,31.0334,TRUE,119.423,119.4235,31.0525,31.0535,TRUE,119.43,119.4302,31.0346,31.035,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4242,119.4248,31.035,31.0356,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
DL,耐久环道,MainLine,0,380,550,800,2,119.4176,119.41775,31.0368,31.0369,119.41765,119.4178,31.0366,31.0367,119.4183,119.4185,31.03815,31.0383,TRUE,119.42105,119.42115,31.02895,31.02905,TRUE,119.4176,119.418,31.0362,31.0365,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.4202,119.421,31.0354,31.036,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
RH,操稳试验环路,MainLine,0,310,350,700,1,119.4235,119.4244,31.0404,31.041,119.423,119.4234,31.0402,31.0406,119.425,119.4256,31.0418,31.0424,TRUE,119.4288,119.4298,31.0342,31.0348,TRUE,119.4233,119.4236,31.0396,31.04,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.421,119.4216,31.0384,31.039,,,,,,,,,200,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,TRUE,,,,,,
